Reference Title,Reference Link,Short Title,Description of Patient Harm,Direct Quote,Time Point,Speciality,Technical Domain,Clinical Impact Score
A resilient workforce: patient safety and the workforce response to a cyber-attack on the ICT systems of the national health service in Ireland,https://pubmed.ncbi.nlm.nih.gov/37848947/,Cancellation of Radiotherapy for cancer Patients,Cancellation of Radiotherapy,Most critically the patients who were on treatment having radiotherapy there was absolutely no way of continuing their treatment.,First Day,Oncology,Imaging,7
A resilient workforce: patient safety and the workforce response to a cyber-attack on the ICT systems of the national health service in Ireland,https://pubmed.ncbi.nlm.nih.gov/37848947/,Cancellation of Radiotherapy in Paediatric Oncology,Cancellation of Radiotherapy,Most critically the patients who were on treatment having radiotherapy there was absolutely no way of continuing their treatment.,First Day,Paediatrics,Imaging,9
A resilient workforce: patient safety and the workforce response to a cyber-attack on the ICT systems of the national health service in Ireland,https://pubmed.ncbi.nlm.nih.gov/37848947/,Increase in Emergency/Crash Sections due to cancelled elective C Sections,Cancellation of outpatient appointments,"“So what we did was we tried to stratify patients in terms of risk and anyone who was deemed low risk and an urgent appointment wasn’t required, their outpatient appointments were then postponed until such time as we had all the relevant details.”",First Month,Obstetrics,Booking Systems,8
A resilient workforce: patient safety and the workforce response to a cyber-attack on the ICT systems of the national health service in Ireland,https://pubmed.ncbi.nlm.nih.gov/37848947/,Increased clinical emergencies due to earlier cancellations,Outpatient appointment cancellations leading to increased burden on Emergency Services,"“So what we did was we tried to stratify patients in terms of risk and anyone who was deemed low risk and an urgent appointment wasn’t required, their outpatient appointments were then postponed until such time as we had all the relevant details.”",First Month,Emergency & Acute Medicine,Booking Systems,7
A resilient workforce: patient safety and the workforce response to a cyber-attack on the ICT systems of the national health service in Ireland,https://pubmed.ncbi.nlm.nih.gov/37848947/,Loss of diagnostic procedures for Cancer Patients,Cessation of diagnostic procedures,"Clinical care and laboratory systems could not be accessed, with clinicians “in the flick of a switch” (Participant A12) unable to carry out routine diagnostic procedures. There was a significant impact on radiotherapy services, with cessation of radiation treatment",First Hour,Oncology,Imaging,7
A resilient workforce: patient safety and the workforce response to a cyber-attack on the ICT systems of the national health service in Ireland,https://pubmed.ncbi.nlm.nih.gov/37848947/,Backlog of outpatient appointments due to earlier cancellations,Cancellation of non-urgent outpatient appointments causing backlog,"“So what we did was we tried to stratify patients in terms of risk and anyone who was deemed low risk and an urgent appointment wasn’t required, their outpatient appointments were then postponed until such time as we had all the relevant details.”, Following quote: “We have been trying in our hospital to work on waiting lists and try and improve the quality and the timeliness of the service that we provide to our patients. COVID impacted on this, but the cyber-attack impacted even more on it and there’s nothing out there for our patients.” ",First Month,All,Booking Systems,6
A resilient workforce: patient safety and the workforce response to a cyber-attack on the ICT systems of the national health service in Ireland,https://pubmed.ncbi.nlm.nih.gov/37848947/,"Risks associated with delayed diagnoses and misdiagnois, from cancelled outpatient appointments",Cancellation of non-urgent outpatient appointments causing backlog,"“So what we did was we tried to stratify patients in terms of risk and anyone who was deemed low risk and an urgent appointment wasn’t required, their outpatient appointments were then postponed until such time as we had all the relevant details.”",First Month,General Medicine,Booking Systems,6
A resilient workforce: patient safety and the workforce response to a cyber-attack on the ICT systems of the national health service in Ireland,https://pubmed.ncbi.nlm.nih.gov/37848947/,No blood matching or tests for obstetric patients,"Risk of depleting blood product supplies for transfusion, due to loss of cross-matching",Participants in acute and maternity services were completely reliant on electronic methods and were therefore more severely impacted: “our emails and other files and everything was gone. But they were the least of our worries now to be honest. So our lab information system was gone.”,First Hour,Obstetrics,Laboratory Systems,8
A resilient workforce: patient safety and the workforce response to a cyber-attack on the ICT systems of the national health service in Ireland,https://pubmed.ncbi.nlm.nih.gov/37848947/,Blood test for acute/emergency cardiac care unavailable,"Loss of laboratory information, leaving clinical staff to treat patients without knowing their full history.",Participants in acute and maternity services were completely reliant on electronic methods and were therefore more severely impacted: “our emails and other files and everything was gone. But they were the least of our worries now to be honest. So our lab information system was gone.”,First Hour,All,Laboratory Systems,8
A resilient workforce: patient safety and the workforce response to a cyber-attack on the ICT systems of the national health service in Ireland,https://pubmed.ncbi.nlm.nih.gov/37848947/,Risk of medication errors,Risk of medication errors due to lack of access to history and paper charts,"I don’t think there was the understanding there that our clinical risk was so great because we had absolutely no histories. All of the other hospitals had paper charts, whereas in the acutes and everywhere, we had absolutely nothing",First Hour,Emergency & Acute Medicine; All,Health Records,8
A resilient workforce: patient safety and the workforce response to a cyber-attack on the ICT systems of the national health service in Ireland,https://pubmed.ncbi.nlm.nih.gov/37848947/,Risk of toxic drug errors for cancer patients,Loss of radiotherapy regimes raising risk of toxic drug errors,"Clinicians were forced to reconstruct very high dose radiotherapy relying on their recall, “we literally had only our memories to rely on” (Participant A6), to ensure the continuation of these critical treatments.",First Week,Oncology,ePrescribing,9
A resilient workforce: patient safety and the workforce response to a cyber-attack on the ICT systems of the national health service in Ireland,https://pubmed.ncbi.nlm.nih.gov/37848947/,Staff Burnout and Risk of Medical Errors,"Increased burden of moving to paper-based procedures impacting staff and causing fatigue, raising risk of errors","Clinical decision-making without the support of systems and data left many clinicians working very long hours and deeply concerned about the choices they we forced to make: “We were putting in 16 plus hour days, significantly more I think at the beginning, and then the uncertainties that impacted that. So, I think that is all I have to say about that. I will say I still wake up at 4 in the morning in a cold sweat about what we did, but we had to do it.”. ",Week 2,All,Health Records,7
A resilient workforce: patient safety and the workforce response to a cyber-attack on the ICT systems of the national health service in Ireland,https://pubmed.ncbi.nlm.nih.gov/37848947/,Staffing Crisis & Sick Leave,"Staff stress, mental health deterioration and increased sick leave - leading to delays and issues with patient care.","Participants expressed concern that the health system may be on the brink of a staff mental health crisis and the risk of a staff “exodus” (Participant A6) from the healthcare service. One participant commented that the current level of sick leave by staff “has gone through the roof” (Participant A3), with an increase in staff reporting “mental health issues” (Participant A3).",First Month,All,Health Records,9
A retrospective impact analysis of the WannaCry cyberattack on the NHS,https://www.nature.com/articles/s41746-019-0161-6,Cancelled outpatient appointments,The cancellation of outpatient appointments due to the cyberattack may affect patients in the community who miss specialist appointments.,"The attack also affected outpatient services. During the WannaCry week, infected trusts had on average 50% more cancellations than non-infected trusts per day (59.7 cancellations, 95% confidence interval 41.4 to 78.0). This resulted in 55 fewer outpatient attendances per day at infected trusts, but this was not precisely estimated (−140 to 30.2).  Quote 2: A significant 13,500 outpatient appointments in the infected hospitals had to be cancelled. NHS England identified that there were at least 139 cancellations for patients with potential cancer, who were referred to urgent clinics.2 It is difficult to appreciate the full impact of these cancellations on patient care, as we do not know for how long all of these appointments were further delayed, and the cascade effect on patients at a time when patients were already waiting longer for treatment.",First Week,All,Booking Systems,5
A retrospective impact analysis of the WannaCry cyberattack on the NHS,https://www.nature.com/articles/s41746-019-0161-6,Closure of affected Emergency Departments,"The closing of affected Emergency Department leads to patients requiring transfer to hospitals elsewhere, which may cause delays particularly affecting patients with time critical conditions.","Five hospitals, including *** Health (*** *** Hospital), one of the main trauma centres in ***, had to close their EDs; patients and emergency ambulances had to travel further to other hospitals to seek care; this had further impact on these hospitals in terms of increased numbers.",First Day,Emergency & Acute Medicine,Hospital Infrastructure,8
A retrospective impact analysis of the WannaCry cyberattack on the NHS,https://www.nature.com/articles/s41746-019-0161-6,Decrease in day-case surgical procedures,Cancelled elective operations predominantly affecting day-case outpatients,"The decrease in elective admissions was driven by a decrease in day case admissions of 10.8 fewer admissions per hospital per day during WannaCry (−17.7 to −3.9), while there was no statistically significant difference in the number of elective admissions who were inpatients.",First Week,General Surgery,Operating Rooms,5
